release_idx,release_time,exec_time_s,period_s,deadline_s,finish_time,deadline_abs,missed_deadline,note
0,944964.347015400,0.000135300,0.030000000,0.030000000,944964.347150700,944964.377015400,0,
1,944964.390458900,0.000223900,0.030000000,0.030000000,944964.390682800,944964.420458900,0,sent:HOLD
2,944964.422381500,0.000265900,0.030000000,0.030000000,944964.422647400,944964.452381500,0,sent:HOLD
3,944964.452288800,0.000420000,0.030000000,0.030000000,944964.452708800,944964.482288800,0,sent:DEGRADE
4,944964.478699400,0.000229800,0.030000000,0.030000000,944964.478929200,944964.508699400,0,sent:DEGRADE
5,944964.498685100,0.000250200,0.030000000,0.030000000,944964.498935300,944964.528685100,0,
6,944964.531500300,0.000172600,0.030000000,0.030000000,944964.531672900,944964.561500300,0,sent:DEGRADE
7,944964.571174200,0.000165000,0.030000000,0.030000000,944964.571339200,944964.601174200,0,sent:HOLD
8,944964.591391900,0.000109000,0.030000000,0.030000000,944964.591500900,944964.621391900,0,
9,944964.622569100,0.000181700,0.030000000,0.030000000,944964.622750800,944964.652569100,0,sent:DEGRADE
10,944964.652962600,0.000179800,0.030000000,0.030000000,944964.653142400,944964.682962600,0,sent:HOLD
11,944964.685308100,0.000900100,0.030000000,0.030000000,944964.686208200,944964.715308100,0,sent:DEGRADE
12,944964.714030800,0.000176900,0.030000000,0.030000000,944964.714207700,944964.744030800,0,sent:DEGRADE
13,944964.744413300,0.000158100,0.030000000,0.030000000,944964.744571400,944964.774413300,0,sent:DEGRADE
14,944964.793377100,0.000178100,0.030000000,0.030000000,944964.793555200,944964.823377100,0,sent:HOLD
15,944964.806346700,0.000160000,0.030000000,0.030000000,944964.806506700,944964.836346700,0,sent:DEGRADE
16,944964.838800000,0.000166900,0.030000000,0.030000000,944964.838966900,944964.868800000,0,sent:DEGRADE
17,944964.868782500,0.000204900,0.030000000,0.030000000,944964.868987400,944964.898782500,0,sent:HOLD
18,944964.913473700,0.000187300,0.030000000,0.030000000,944964.913661000,944964.943473700,0,sent:DEGRADE
19,944964.918426500,0.000150000,0.030000000,0.030000000,944964.918576500,944964.948426500,0,sent:DEGRADE
20,944964.963869500,0.000169900,0.030000000,0.030000000,944964.964039400,944964.993869500,0,sent:HOLD
21,944964.977752500,0.000104400,0.030000000,0.030000000,944964.977856900,944965.007752500,0,
22,944965.013868100,0.000125500,0.030000000,0.030000000,944965.013993600,944965.043868100,0,sent:HOLD
23,944965.044267500,0.000186400,0.030000000,0.030000000,944965.044453900,944965.074267500,0,sent:DEGRADE
24,944965.072581400,0.001065600,0.030000000,0.030000000,944965.073647000,944965.102581400,0,sent:HOLD
25,944965.107605900,0.000178700,0.030000000,0.030000000,944965.107784600,944965.137605900,0,sent:DEGRADE
26,944965.133515000,0.000165900,0.030000000,0.030000000,944965.133680900,944965.163515000,0,sent:DEGRADE
