release_idx,release_time,exec_time_s,period_s,deadline_s,finish_time,deadline_abs,missed_deadline,note
0,944964.347809500,0.000361600,0.050000000,0.050000000,944964.348171100,944964.397809500,0,HOLD
1,944964.406956600,0.000378400,0.050000000,0.050000000,944964.407335000,944964.456956600,0,state_stale
2,944964.452885700,0.000067100,0.050000000,0.050000000,944964.452952800,944964.502885700,0,state_stale
3,944964.505099300,0.000101400,0.050000000,0.050000000,944964.505200700,944964.555099300,0,state_stale
4,944964.570862600,0.000104600,0.050000000,0.050000000,944964.570967200,944964.620862600,0,state_stale
5,944964.606112100,0.000192700,0.050000000,0.050000000,944964.606304800,944964.656112100,0,state_stale
6,944964.652624700,0.000103000,0.050000000,0.050000000,944964.652727700,944964.702624700,0,state_stale
7,944964.700599300,0.001600500,0.050000000,0.050000000,944964.702199800,944964.750599300,0,state_stale
8,944964.774682700,0.000108300,0.050000000,0.050000000,944964.774791000,944964.824682700,0,state_stale
9,944964.806720800,0.000148900,0.050000000,0.050000000,944964.806869700,944964.856720800,0,state_stale
10,944964.854376300,0.000102400,0.050000000,0.050000000,944964.854478700,944964.904376300,0,state_stale
11,944964.913889500,0.000105800,0.050000000,0.050000000,944964.913995300,944964.963889500,0,state_stale
12,944964.963552700,0.000102100,0.050000000,0.050000000,944964.963654800,944965.013552700,0,state_stale
13,944965.013603800,0.000100200,0.050000000,0.050000000,944965.013704000,944965.063603800,0,state_stale
14,944965.059760500,0.000100000,0.050000000,0.050000000,944965.059860500,944965.109760500,0,state_stale
15,944965.108007100,0.000101900,0.050000000,0.050000000,944965.108109000,944965.158007100,0,state_stale
16,944965.152022900,0.000100700,0.050000000,0.050000000,944965.152123600,944965.202022900,0,state_stale
17,944965.212014900,0.000106000,0.050000000,0.050000000,944965.212120900,944965.262014900,0,state_stale
18,944965.258785100,0.000129300,0.050000000,0.050000000,944965.258914400,944965.308785100,0,state_stale
19,944965.304877400,0.000145300,0.050000000,0.050000000,944965.305022700,944965.354877400,0,state_stale
20,944965.352262500,0.000113800,0.050000000,0.050000000,944965.352376300,944965.402262500,0,state_stale
21,944965.485850800,0.000111000,0.050000000,0.050000000,944965.485961800,944965.535850800,0,state_stale
22,944965.486067800,0.000037400,0.050000000,0.050000000,944965.486105200,944965.536067800,0,state_stale
23,944965.538398700,0.000114800,0.050000000,0.050000000,944965.538513500,944965.588398700,0,state_stale
24,944965.604940600,0.000097800,0.050000000,0.050000000,944965.605038400,944965.654940600,0,state_stale
25,944965.648932100,0.000078500,0.050000000,0.050000000,944965.649010600,944965.698932100,0,state_stale
26,944965.695195200,0.000111000,0.050000000,0.050000000,944965.695306200,944965.745195200,0,state_stale
27,944965.742823800,0.000066700,0.050000000,0.050000000,944965.742890500,944965.792823800,0,state_stale
28,944965.802145100,0.000550100,0.050000000,0.050000000,944965.802695200,944965.852145100,0,MOVE_LEFT
29,944965.849370300,0.000357700,0.050000000,0.050000000,944965.849728000,944965.899370300,0,SLOW_DOWN
30,944965.896546100,0.000385400,0.050000000,0.050000000,944965.896931500,944965.946546100,0,SLOW_DOWN
31,944965.948874200,0.000115000,0.050000000,0.050000000,944965.948989200,944965.998874200,0,state_stale
32,944965.990090200,0.000110100,0.050000000,0.050000000,944965.990200300,944966.040090200,0,state_stale
33,944966.051845000,0.000142400,0.050000000,0.050000000,944966.051987400,944966.101845000,0,state_stale
34,944966.103638000,0.000060600,0.050000000,0.050000000,944966.103698600,944966.153638000,0,state_stale
35,944966.144264100,0.000119200,0.050000000,0.050000000,944966.144383300,944966.194264100,0,state_stale
36,944966.256278900,0.000069100,0.050000000,0.050000000,944966.256348000,944966.306278900,0,state_stale
37,944966.256473700,0.000043800,0.050000000,0.050000000,944966.256517500,944966.306473700,0,state_stale
38,944966.334814200,0.000130600,0.050000000,0.050000000,944966.334944800,944966.384814200,0,state_stale
39,944966.362178700,0.000119800,0.050000000,0.050000000,944966.362298500,944966.412178700,0,state_stale
40,944966.456276300,0.000114100,0.050000000,0.050000000,944966.456390400,944966.506276300,0,state_stale
41,944966.456493700,0.000033400,0.050000000,0.050000000,944966.456527100,944966.506493700,0,state_stale
42,944966.519034100,0.000111500,0.050000000,0.050000000,944966.519145600,944966.569034100,0,state_stale
43,944966.567295200,0.000119400,0.050000000,0.050000000,944966.567414600,944966.617295200,0,state_stale
44,944966.616190200,0.000061300,0.050000000,0.050000000,944966.616251500,944966.666190200,0,state_stale
45,944966.673253700,0.000477000,0.050000000,0.050000000,944966.673730700,944966.723253700,0,state_stale
46,944966.723747500,0.000099800,0.050000000,0.050000000,944966.723847300,944966.773747500,0,state_stale
47,944966.769215000,0.000108600,0.050000000,0.050000000,944966.769323600,944966.819215000,0,state_stale
48,944966.811691900,0.000415700,0.050000000,0.050000000,944966.812107600,944966.861691900,0,degraded_hold
49,944966.860304300,0.000212800,0.050000000,0.050000000,944966.860517100,944966.910304300,0,MOVE_LEFT
50,944966.919475300,0.000167900,0.050000000,0.050000000,944966.919643200,944966.969475300,0,SLOW_DOWN
51,944966.964209100,0.000190800,0.050000000,0.050000000,944966.964399900,944967.014209100,0,SLOW_DOWN
52,944967.012252700,0.000200700,0.050000000,0.050000000,944967.012453400,944967.062252700,0,MOVE_LEFT
53,944967.057488600,0.000277000,0.050000000,0.050000000,944967.057765600,944967.107488600,0,SLOW_DOWN
54,944967.119069000,0.000216400,0.050000000,0.050000000,944967.119285400,944967.169069000,0,SLOW_DOWN
55,944967.166569800,0.000219700,0.050000000,0.050000000,944967.166789500,944967.216569800,0,MOVE_LEFT
56,944967.213052400,0.000210700,0.050000000,0.050000000,944967.213263100,944967.263052400,0,SLOW_DOWN
