release_idx,release_time,exec_time_s,period_s,deadline_s,finish_time,deadline_abs,missed_deadline,note
0,952897.767513500,0.000031100,0.020000000,0.020000000,952897.767544600,952897.787513500,0,perception_unhealthy
1,952897.792504800,0.000048800,0.020000000,0.020000000,952897.792553600,952897.812504800,0,perception_unhealthy
2,952897.808026700,0.000024200,0.020000000,0.020000000,952897.808050900,952897.828026700,0,perception_unhealthy
3,952897.839041100,0.000019800,0.020000000,0.020000000,952897.839060900,952897.859041100,0,perception_unhealthy
4,952897.869634900,0.000022900,0.020000000,0.020000000,952897.869657800,952897.889634900,0,perception_unhealthy
5,952897.869790500,0.000007300,0.020000000,0.020000000,952897.869797800,952897.889790500,0,perception_unhealthy
6,952897.909905000,0.000014100,0.020000000,0.020000000,952897.909919100,952897.929905000,0,perception_unhealthy
7,952897.910003900,0.000004200,0.020000000,0.020000000,952897.910008100,952897.930003900,0,perception_unhealthy
8,952897.931333200,0.000008900,0.020000000,0.020000000,952897.931342100,952897.951333200,0,perception_unhealthy
9,952897.962791800,0.000015200,0.020000000,0.020000000,952897.962807000,952897.982791800,0,perception_unhealthy
10,952897.977390700,0.000011900,0.020000000,0.020000000,952897.977402600,952897.997390700,0,perception_unhealthy
11,952897.992241000,0.000021800,0.020000000,0.020000000,952897.992262800,952898.012241000,0,perception_unhealthy
12,952898.024728000,0.000012800,0.020000000,0.020000000,952898.024740800,952898.044728000,0,perception_unhealthy
13,952898.040105700,0.000013600,0.020000000,0.020000000,952898.040119300,952898.060105700,0,perception_unhealthy
14,952898.055378000,0.000014600,0.020000000,0.020000000,952898.055392600,952898.075378000,0,perception_unhealthy
15,952898.071130000,0.000007400,0.020000000,0.020000000,952898.071137400,952898.091130000,0,perception_unhealthy
16,952898.102119700,0.000010600,0.020000000,0.020000000,952898.102130300,952898.122119700,0,perception_unhealthy
17,952898.118493100,0.000013900,0.020000000,0.020000000,952898.118507000,952898.138493100,0,perception_unhealthy
18,952898.133800200,0.000005400,0.020000000,0.020000000,952898.133805600,952898.153800200,0,perception_unhealthy
19,952898.166121400,0.000007200,0.020000000,0.020000000,952898.166128600,952898.186121400,0,perception_unhealthy
20,952898.180205800,0.000007200,0.020000000,0.020000000,952898.180213000,952898.200205800,0,perception_unhealthy
21,952898.195599300,0.000011300,0.020000000,0.020000000,952898.195610600,952898.215599300,0,perception_unhealthy
22,952898.210911700,0.000017000,0.020000000,0.020000000,952898.210928700,952898.230911700,0,perception_unhealthy
23,952898.242057300,0.000009900,0.020000000,0.020000000,952898.242067200,952898.262057300,0,perception_unhealthy
24,952898.257840400,0.000007000,0.020000000,0.020000000,952898.257847400,952898.277840400,0,perception_unhealthy
25,952898.273270100,0.000014700,0.020000000,0.020000000,952898.273284800,952898.293270100,0,perception_unhealthy
26,952898.304192200,0.000030300,0.020000000,0.020000000,952898.304222500,952898.324192200,0,
27,952898.320793100,0.000027800,0.020000000,0.020000000,952898.320820900,952898.340793100,0,
28,952898.335581700,0.000018900,0.020000000,0.020000000,952898.335600600,952898.355581700,0,
29,952898.350987300,0.000010100,0.020000000,0.020000000,952898.350997400,952898.370987300,0,
30,952898.381717900,0.000004500,0.020000000,0.020000000,952898.381722400,952898.401717900,0,
31,952898.397358000,0.000013600,0.020000000,0.020000000,952898.397371600,952898.417358000,0,
32,952898.413500700,0.000025800,0.020000000,0.020000000,952898.413526500,952898.433500700,0,
33,952898.444163300,0.000017700,0.020000000,0.020000000,952898.444181000,952898.464163300,0,
34,952898.459760200,0.000026700,0.020000000,0.020000000,952898.459786900,952898.479760200,0,
35,952898.475528000,0.000018100,0.020000000,0.020000000,952898.475546100,952898.495528000,0,
36,952898.491259100,0.000011000,0.020000000,0.020000000,952898.491270100,952898.511259100,0,
37,952898.522943800,0.000017900,0.020000000,0.020000000,952898.522961700,952898.542943800,0,
38,952898.537791500,0.000021200,0.020000000,0.020000000,952898.537812700,952898.557791500,0,
39,952898.552946100,0.000015700,0.020000000,0.020000000,952898.552961800,952898.572946100,0,
40,952898.583947600,0.000014600,0.020000000,0.020000000,952898.583962200,952898.603947600,0,
41,952898.599269000,0.000016700,0.020000000,0.020000000,952898.599285700,952898.619269000,0,
42,952898.614888300,0.000028400,0.020000000,0.020000000,952898.614916700,952898.634888300,0,
43,952898.630139900,0.000020400,0.020000000,0.020000000,952898.630160300,952898.650139900,0,
44,952898.661763300,0.000019700,0.020000000,0.020000000,952898.661783000,952898.681763300,0,
45,952898.677354600,0.000016200,0.020000000,0.020000000,952898.677370800,952898.697354600,0,
46,952898.692565700,0.000017400,0.020000000,0.020000000,952898.692583100,952898.712565700,0,
47,952898.723815700,0.000026900,0.020000000,0.020000000,952898.723842600,952898.743815700,0,
