release_idx,release_time,exec_time_s,period_s,deadline_s,finish_time,deadline_abs,missed_deadline,note
0,952897.767097000,0.000168200,0.020000000,0.020000000,952897.767265200,952897.787097000,0,
1,952897.792829900,0.000284800,0.020000000,0.020000000,952897.793114700,952897.812829900,0,
2,952897.808448900,0.000295400,0.020000000,0.020000000,952897.808744300,952897.828448900,0,perception_unhealthy_x3
3,952897.838542500,0.000204600,0.020000000,0.020000000,952897.838747100,952897.858542500,0,stale_state_163.3ms;perception_unhealthy_x3
4,952897.870606900,0.000191400,0.020000000,0.020000000,952897.870798300,952897.890606900,0,stale_state_195.3ms;perception_unhealthy_x6
5,952897.870882100,0.000088100,0.020000000,0.020000000,952897.870970200,952897.890882100,0,stale_state_195.6ms;perception_unhealthy_x6
6,952897.909259500,0.000172600,0.020000000,0.020000000,952897.909432100,952897.929259500,0,stale_state_234.0ms;perception_unhealthy_x6
7,952897.916097900,0.000188200,0.020000000,0.020000000,952897.916286100,952897.936097900,0,stale_state_240.8ms;perception_unhealthy_x8
8,952897.946150200,0.000180500,0.020000000,0.020000000,952897.946330700,952897.966150200,0,stale_state_270.9ms;perception_unhealthy_x9
9,952897.962362600,0.000128600,0.020000000,0.020000000,952897.962491200,952897.982362600,0,stale_state_287.1ms;perception_unhealthy_x9
10,952897.977705400,0.000113400,0.020000000,0.020000000,952897.977818800,952897.997705400,0,stale_state_302.4ms;perception_unhealthy_x11
11,952897.993102000,0.000195800,0.020000000,0.020000000,952897.993297800,952898.013102000,0,stale_state_317.8ms;perception_unhealthy_x12
12,952898.024175200,0.000177200,0.020000000,0.020000000,952898.024352400,952898.044175200,0,stale_state_348.9ms;perception_unhealthy_x12
13,952898.040290600,0.000135700,0.020000000,0.020000000,952898.040426300,952898.060290600,0,stale_state_365.0ms;perception_unhealthy_x14
14,952898.055581000,0.000157800,0.020000000,0.020000000,952898.055738800,952898.075581000,0,stale_state_380.3ms;perception_unhealthy_x15
15,952898.090466300,0.000090300,0.020000000,0.020000000,952898.090556600,952898.110466300,0,stale_state_415.2ms;perception_unhealthy_x16
16,952898.101449600,0.000165100,0.020000000,0.020000000,952898.101614700,952898.121449600,0,stale_state_426.2ms;perception_unhealthy_x16
17,952898.118677800,0.000137000,0.020000000,0.020000000,952898.118814800,952898.138677800,0,stale_state_443.4ms;perception_unhealthy_x18
18,952898.133628200,0.000088400,0.020000000,0.020000000,952898.133716600,952898.153628200,0,stale_state_458.4ms;perception_unhealthy_x18
19,952898.165894800,0.000126700,0.020000000,0.020000000,952898.166021500,952898.185894800,0,stale_state_490.6ms;perception_unhealthy_x19
20,952898.180026000,0.000089600,0.020000000,0.020000000,952898.180115600,952898.200026000,0,stale_state_504.8ms;perception_unhealthy_x20
21,952898.195751900,0.000078100,0.020000000,0.020000000,952898.195830000,952898.215751900,0,stale_state_520.5ms;perception_unhealthy_x22
22,952898.235226500,0.000089800,0.020000000,0.020000000,952898.235316300,952898.255226500,0,stale_state_560.0ms;perception_unhealthy_x23
23,952898.235347500,0.000026900,0.020000000,0.020000000,952898.235374400,952898.255347500,0,stale_state_560.1ms;perception_unhealthy_x23
24,952898.257648700,0.000111600,0.020000000,0.020000000,952898.257760300,952898.277648700,0,stale_state_582.4ms;perception_unhealthy_x24
25,952898.289301800,0.000116300,0.020000000,0.020000000,952898.289418100,952898.309301800,0,stale_state_614.0ms;perception_unhealthy_x26
